temperature,humidity,number of people,result
-12,55,53.65,ощутимо холодная
-12,60,52.94,ощутимо холодная
-12,65,51.97,ощутимо холодная
-12,70,56.9,морозная
-12,75,61.57,морозная
-12,80,61.57,морозная
-12,85,61.57,морозная
-12,90,61.57,морозная
-12,95,61.57,морозная
-12,100,61.57,морозная
-11,0,57.06,комфортная холодная
-11,5,57.06,комфортная холодная
-11,10,57.06,комфортная холодная
-11,15,57.06,комфортная холодная
-11,20,55.39,комфортная холодная
-11,25,52.05,ощутимо холодная
-11,30,53.25,ощутимо холодная
-11,35,53.25,ощутимо холодная
-11,40,53.25,ощутимо холодная
-11,45,53.25,ощутимо холодная
-11,50,53.25,ощутимо холодная
-11,55,53.25,ощутимо холодная
-11,60,52.94,ощутимо холодная
-11,65,51.97,ощутимо холодная
-11,70,56.9,морозная
-11,75,60.48,морозная
-11,80,60.48,морозная
-11,85,60.48,морозная
-11,90,60.48,морозная
-11,95,60.48,морозная
-11,100,60.48,морозная
-10,0,56.23,комфортная холодная
-10,5,56.23,комфортная холодная
-10,10,56.23,комфортная холодная
-10,15,56.23,комфортная холодная
-10,20,55.39,комфортная холодная
-10,25,52.05,ощутимо холодная
-10,30,52.86,ощутимо холодная
-10,35,52.86,ощутимо холодная
-10,40,52.86,ощутимо холодная
-10,45,52.86,ощутимо холодная
-10,50,52.86,ощутимо холодная
-10,55,52.86,ощутимо холодная
-10,60,52.86,ощутимо холодная
-10,65,51.97,ощутимо холодная
-10,70,56.9,морозная
-10,75,59.34,морозная
-10,80,59.34,морозная
-10,85,59.34,морозная
-10,90,59.34,морозная
-10,95,59.34,морозная
-10,100,59.34,морозная
-9,0,55.39,комфортная холодная
-9,5,55.39,комфортная холодная
-9,10,55.39,комфортная холодная
-9,15,55.39,комфортная холодная
-9,20,55.39,комфортная холодная
-9,25,52.05,ощутимо холодная
-9,30,52.46,ощутимо холодная
-9,35,52.46,ощутимо холодная
-9,40,52.46,ощутимо холодная
-9,45,52.46,ощутимо холодная
-9,50,52.46,ощутимо холодная
-9,55,52.46,ощутимо холодная
-9,60,52.46,ощутимо холодная
-9,65,51.97,ощутимо холодная
-9,70,56.9,морозная
-9,75,58.13,морозная
-9,80,58.13,морозная
-9,85,58.13,морозная
-9,90,58.13,морозная
-9,95,58.13,морозная
-9,100,58.13,морозная
-8,0,54.53,комфортная холодная
-8,5,54.53,комфортная холодная
-8,10,54.53,комфортная холодная
-8,15,54.53,комфортная холодная
-8,20,54.53,комфортная холодная
-8,25,52.05,ощутимо холодная
-8,30,52.05,ощутимо холодная
-8,35,52.05,ощутимо холодная
-8,40,52.05,ощутимо холодная
-8,45,52.05,ощутимо холодная
-8,50,52.05,ощутимо холодная
-8,55,52.05,ощутимо холодная
-8,60,52.05,ощутимо холодная
-8,65,51.97,ощутимо холодная
-8,70,55.49,морозная
-8,75,56.88,морозная
-8,80,56.88,морозная
-8,85,56.88,морозная
-8,90,56.88,морозная
-8,95,56.88,морозная
-8,100,56.88,морозная
-7,0,53.65,комфортная холодная
-7,5,53.65,комфортная холодная
-7,10,53.65,комфортная холодная
-7,15,53.65,комфортная холодная
-7,20,53.65,комфортная холодная
-7,25,51.65,ощутимо холодная
-7,30,51.65,ощутимо холодная
-7,35,51.65,ощутимо холодная
-7,40,51.65,ощутимо холодная
-7,45,51.65,ощутимо холодная
-7,50,51.65,ощутимо холодная
-7,55,51.65,ощутимо холодная
-7,60,51.65,ощутимо холодная
-7,65,51.65,ощутимо холодная
-7,70,53.95,морозная
-7,75,55.58,морозная
-7,80,55.58,морозная
-7,85,55.58,морозная
-7,90,55.58,морозная
-7,95,55.58,морозная
-7,100,55.58,морозная
-6,0,52.76,комфортная холодная
-6,5,52.76,комфортная холодная
-6,10,52.76,комфортная холодная
-6,15,52.76,комфортная холодная
-6,20,52.76,комфортная холодная
-6,25,51.24,ощутимо холодная
-6,30,51.24,ощутимо холодная
-6,35,51.24,ощутимо холодная
-6,40,51.24,ощутимо холодная
-6,45,51.24,ощутимо холодная
-6,50,51.24,ощутимо холодная
-6,55,51.24,ощутимо холодная
-6,60,51.24,ощутимо холодная
-6,65,51.24,ощутимо холодная
-6,70,52.21,морозная
-6,75,54.24,морозная
-6,80,54.24,морозная
-6,85,54.24,морозная
-6,90,54.24,морозная
-6,95,54.24,морозная
-6,100,54.24,морозная
-5,0,51.85,комфортная холодная
-5,5,51.85,комфортная холодная
-5,10,51.85,комфортная холодная
-5,15,51.85,комфортная холодная
-5,20,51.85,комфортная холодная
-5,25,50.83,ощутимо холодная
-5,30,50.83,ощутимо холодная
-5,35,50.83,ощутимо холодная
-5,40,50.83,ощутимо холодная
-5,45,50.83,ощутимо холодная
-5,50,50.83,ощутимо холодная
-5,55,50.83,ощутимо холодная
-5,60,50.83,ощутимо холодная
-5,65,50.83,ощутимо холодная
-5,70,50.83,ощутимо холодная
-5,75,52.86,морозная
-5,80,52.86,морозная
-5,85,52.86,морозная
-5,90,52.86,морозная
-5,95,52.86,морозная
-5,100,52.86,морозная
-4,0,52.41,комфортно прохладная
-4,5,52.41,комфортно прохладная
-4,10,52.41,комфортно прохладная
-4,15,52.41,комфортно прохладная
-4,20,52.41,комфортно прохладная
-4,25,50.99,ощутимо прохладная
-4,30,50.99,ощутимо прохладная
-4,35,50.99,ощутимо прохладная
-4,40,50.99,ощутимо прохладная
-4,45,50.99,ощутимо прохладная
-4,50,50.99,ощутимо прохладная
-4,55,50.99,ощутимо прохладная
-4,60,50.99,ощутимо прохладная
-4,65,50.99,ощутимо прохладная
-4,70,50.99,ощутимо прохладная
-4,75,50.99,промозглая
-4,80,50.99,промозглая
-4,85,50.99,промозглая
-4,90,50.99,промозглая
-4,95,50.99,промозглая
-4,100,50.99,промозглая
-3,0,54.81,комфортно прохладная
-3,5,54.81,комфортно прохладная
-3,10,54.81,комфортно прохладная
-3,15,54.81,комфортно прохладная
-3,20,54.81,комфортно прохладная
-3,25,51.97,ощутимо прохладная
-3,30,51.97,ощутимо прохладная
-3,35,51.97,ощутимо прохладная
-3,40,51.97,ощутимо прохладная
-3,45,51.97,ощутимо прохладная
-3,50,51.97,ощутимо прохладная
-3,55,51.97,ощутимо прохладная
-3,60,51.97,ощутимо прохладная
-3,65,51.97,ощутимо прохладная
